"Id","Severity","Title","Mitre","Why","Artifact","Module"
"DGL-032","MEDIUM","Autorun target does not exist","","Remnant of removed malware, or an opportunity for path hijacking","","Event Log Health"
"DGL-033","(varies)","Suspicious autorun command: <N>","(varies)","Attacker behaviour pattern matched in a persistent entry","","Event Log Health"
"DGL-040","HIGH","Process running from a suspicious directory","T1036","Temp/AppData/ProgramData are the most common malware execution directories","03_processes","Process Tree"
"DGL-041","HIGH","Unsigned process running from a user profile","T1204","Legitimate software usually lives under Program Files and is signed","03_processes","Process Tree"
"DGL-042","CRITICAL","System binary masquerading","T1036.005","This binary name is expected only in its protected system directory","03_processes","Process Tree"
"DGL-043","(varies)","Suspicious command line: <N>","(varies)","Command line matching known attacker behaviour","03_processes","Process Tree"
"DGL-044","(varies)","Anomalous parent-child process relationship","(varies)","This parent-child relationship does not occur during normal operation","03_processes","Process Tree"
"DGL-045","HIGH","Compression/exfiltration/tunnelling tool running","T1560","Indicator of the collection and exfiltration stage","03_processes","Process Tree"
"DGL-046","MEDIUM","Process image path could not be read","","May be a protected process, or the image was deleted from disk","03_processes","Process Tree"
"DGL-047","HIGH","Multiple discovery commands running simultaneously","T1082","Indicator of hands-on-keyboard reconnaissance","03_processes","Process Tree"
"DGL-050","CRITICAL","netsh portproxy rule present (tunnelling)","T1090.001","Port forwarding is almost always for pivoting or tunnelling","04_portproxy","Network Connections"
"DGL-051","HIGH","User proxy AutoConfigURL is set","T1090","A malicious PAC file can redirect traffic to attacker infrastructure","04_proxy_config","Network Connections"
"DGL-052","HIGH","Hosts file modified within the analysis window","T1565.001","Blocking security vendor domains or redirecting traffic","04_hosts","Network Connections"
"DGL-053","CRITICAL","Suspicious process communicating with an external IP (possible C2)","T1071","An external connection from a process running in a temp directory indicates C2","04_tcp_connections","Network Connections"
"DGL-054","HIGH","Unsigned process communicating with an external IP","T1071","External traffic from an unsigned binary is the most common C2 channel appearance","04_tcp_connections","Network Connections"
"DGL-055","CRITICAL","Suspicious process listening on all interfaces (backdoor)","T1571","A listener that is unsigned or runs from a temp directory indicates a backdoor","04_listening_ports","Network Connections"
"DGL-056","HIGH","Firewall profile disabled","T1562.004","Attackers disable the firewall for C2 and lateral movement","04_firewall_profiles","Network Connections"
"DGL-057","CRITICAL","Firewall rule allows inbound traffic to a suspicious binary","T1562.004","Attackers add firewall rules for persistent access; legitimate software does not listen from Temp/AppData","04_firewall_inbound_allow","Network Connections"
"DGL-058","CRITICAL","Regularly spaced external connections (possible beaconing)","T1071","External connections repeating at fixed intervals are the signature of an automated C2 beacon","11_sysmon_3_network","Event: Sysmon"
"DGL-059","INFO","Limited network visibility - point-in-time connections only","T1071","Sysmon Event 3 is required for beaconing analysis","04_tcp_connections","Network Connections"
"DGL-060","HIGH","Service binary is unsigned","T1543.003","The vast majority of Windows services are signed; unsigned ones warrant review","05_services","Services"
"DGL-061","MEDIUM","Unquoted service path (binary hijack risk)","T1574.009","An unquoted path containing spaces can be hijacked by planting a binary in a parent directory","05_services","Services"
"DGL-062","HIGH","Service binary modified within the analysis window","T1543.003","Replacing an existing service binary provides persistence (service hijacking)","05_services","Services"
"DGL-063","HIGH","Randomised-looking service name","T1569.002","Cobalt Strike and similar tools generate random service names","05_services","Services"
"DGL-064","CRITICAL","Remote execution service detected","T1569.002","PsExec and its derivatives are used for lateral movement","05_services","Services"
"DGL-065","(varies)","Suspicious command in service path: <N>","(varies)","Attacker behaviour pattern matched in the service command line","05_services","Services"
"DGL-070","CRITICAL","Scheduled task runs from a suspicious directory","T1053.005","Legitimate tasks run from System32 or Program Files","06_scheduled_tasks","Scheduled Tasks"
"DGL-071","MEDIUM","Task defined in the root folder","T1053.005","Attacker-created tasks are usually left in the root folder","06_scheduled_tasks","Scheduled Tasks"
"DGL-072","HIGH","Scheduled task executes an unsigned binary","T1053.005","A task launching an unsigned binary is a common persistence method","06_scheduled_tasks","Scheduled Tasks"
"DGL-073","HIGH","Non-Microsoft task running as SYSTEM","T1053.005","A third-party task running as SYSTEM provides privilege escalation and persistence","06_scheduled_tasks","Scheduled Tasks"
"DGL-074","(varies)","Suspicious pattern in task command: <N>","(varies)","Attacker behaviour pattern matched in the task command line","06_scheduled_tasks","Scheduled Tasks"
"DGL-075","HIGH","New task created within the analysis window","T1053.005","A non-Microsoft task created within the analysis window may be attacker persistence","06_task_files","Scheduled Tasks"
"DGL-080","CRITICAL","Winlogon value modified","T1547.004","Value differs from the expected default","07_autoruns","Autoruns / ASEP"
"DGL-081","CRITICAL","AppInit_DLLs is set","T1546.010","AppInit_DLLs injects a DLL into every process that loads user32.dll","07_autoruns","Autoruns / ASEP"
"DGL-082","(varies)","IFEO Debugger is set","T1546.012","The debugger runs instead of the target binary when launched (accessibility backdoor)","07_autoruns","Autoruns / ASEP"
"DGL-083","CRITICAL","SilentProcessExit MonitorProcess is set","T1546.012","The specified binary runs when the target process exits","07_autoruns","Autoruns / ASEP"
"DGL-084","CRITICAL","Unknown entry in the LSA package list","T1547.002","A custom DLL loaded into LSA can steal credentials","07_autoruns","Autoruns / ASEP"
"DGL-085","CRITICAL","AppCertDlls entry present","T1546.009","This key is empty by default; a DLL is loaded on every CreateProcess call","07_autoruns","Autoruns / ASEP"
"DGL-086","HIGH","Non-standard Time Provider DLL","T1547.003","Time Provider registrations are loaded by w32time as SYSTEM; a non-default DLL is persistence","07_autoruns","Autoruns / ASEP"
"DGL-087","CRITICAL","UserInitMprLogonScript is set","T1037.001","This value does not exist by default and runs at every logon","07_autoruns","Autoruns / ASEP"
"DGL-088","HIGH","BITS transfer job present","T1197","BITS is used for both download and persistence","07_bits_jobs","Autoruns / ASEP"
"DGL-089","HIGH","Winlogon value defined","T1547.004","This value is not present by default","07_autoruns","Autoruns / ASEP"
"DGL-090","CRITICAL","Persistent WMI event subscription present","T1546.003","Filter-to-consumer binding is the most common form of fileless persistence","08_wmi_persistence","WMI Persistence"
"DGL-091","CRITICAL","Suspicious command in WMI consumer: <N>","(varies)","The WMI consumer command runs as SYSTEM when triggered","08_wmi_persistence","WMI Persistence"
"DGL-100","HIGH","Known C2 named pipe pattern matched","T1071","Cobalt Strike and similar C2 frameworks use characteristic pipe names","09_named_pipes","Named Pipes"
"DGL-110","CRITICAL","Defender protection component disabled","T1562.001","Disabling AV protection is usually an attacker first step","12_defender_status","Security Posture"
"DGL-111","MEDIUM","Defender signatures are out of date","T1562.001","An outdated signature database misses new threats; updates may have been blocked","12_defender_status","Security Posture"
"DGL-112","(varies)","Defender exclusion configured","T1562.001","Attackers add their payload directory to the exclusion list","12_defender_exclusions","Security Posture"
"DGL-113","(varies)","Defender threat detection","","An unremediated detection indicates active infection; even a remediated one shows the entry vector","12_defender_threats","Security Posture"
"DGL-114","(varies)","Defender remediation action","(varies)","Records what was acted upon and when","12_security_config","Security Posture"
"DGL-115","HIGH","No registered AMSI provider found","T1562.001","The AMSI provider registration may have been removed - script scanning is disabled","12_security_config","Security Posture"
"DGL-116","MEDIUM","Critical audit category disabled","T1562.002","While this category is off, the related events are never generated","12_audit_policy","Security Posture"
"DGL-117","MEDIUM","No shadow copies found","T1490","Servers usually retain shadow copies; they may have been deleted","12_shadow_copies","Security Posture"
"DGL-120","HIGH","Share grants full control to Everyone","T1135","Unauthenticated write access eases lateral movement and data exfiltration","10_smb_shares","SMB / Shares"
"DGL-121","HIGH","Drive root has been shared","T1135","Beyond the default administrative shares, sharing a drive root is rarely legitimate","10_smb_shares","SMB / Shares"
"DGL-130","CRITICAL","Driver loaded from a suspicious directory","T1068","In BYOVD attacks the driver is loaded from a temp directory","09_drivers","Drivers"
"DGL-131","HIGH","Unsigned driver running","T1068","Unsigned code running in kernel mode indicates a rootkit or BYOVD","09_drivers","Drivers"
"DGL-132","HIGH","Driver written within the analysis window","T1068","A driver written to disk within the analysis window may be a BYOVD attack","09_drivers","Drivers"
"DGL-140","MEDIUM","No process creation audit (4688) records","T1562.002","With this audit disabled, historical execution activity is invisible","11_evt_4688","Event: Process Creation (4688)"
"DGL-141","MEDIUM","4688 events do not include command lines","T1562.002","ProcessCreationIncludeCmdLine_Enabled is off - hunting value is greatly reduced","11_evt_4688","Event: Process Creation (4688)"
"DGL-142","HIGH","Process previously executed from a suspicious directory","T1036","The process may no longer be running; the event record is the only evidence","11_evt_4688","Event: Process Creation (4688)"
"DGL-143","HIGH","Suspicious command in process creation (4688)","T1059","Attacker behaviour pattern matched in a historical process command line","11_evt_4688","Event: Process Creation (4688)"
"DGL-144","HIGH","Obfuscated command decoded","T1027","Encoding is not malicious by itself; the decoded content must be reviewed","11_evt_4688","Event: Process Creation (4688)"
"DGL-145","HIGH","Suspicious pattern in decoded command","","Attacker behaviour pattern matched inside an obfuscated payload","","Central (Invoke-DDeobfuscateAndScan)"
"DGL-146","(varies)","Anomalous parent-child relationship [historical]","(varies)","Suspicious parent-child process relationship in a historical event record","11_evt_4688","Event: Process Creation (4688)"
"DGL-150","HIGH","PowerShell flagged a suspicious script block","T1059.001","Warning-level blocks are recorded even when script block logging is off","11_evt_ps_4104","Event: PowerShell (4104/4103/400)"
"DGL-151","MEDIUM","Obfuscated command line","T1027.010","Multiple obfuscation indicators rarely co-occur in legitimate commands","","Central (Invoke-DDeobfuscateAndScan)"
"DGL-152","MEDIUM","PowerShell Remoting session detected","T1021.006","Remote PowerShell access can indicate lateral movement","11_evt_ps_classic","Event: PowerShell (4104/4103/400)"
"DGL-160","HIGH","Logon Type 9 (NewCredentials/RunAs) detected","T1550.002","Type 9 is the typical trace of pass-the-hash and overpass-the-hash attacks","11_evt_4624_logon","Event: Logon Activity"
"DGL-161","MEDIUM","Logon Type 8 (NetworkCleartext)","T1078","The password may have traversed the network in cleartext","11_evt_4624_logon","Event: Logon Activity"
"DGL-162","HIGH","RDP session from outside the private network","T1021.001","Internet-exposed RDP is a common initial access vector","11_evt_4624_logon","Event: Logon Activity"
"DGL-163","HIGH","Possible brute force (4625 volume)","T1110","High volume of authentication failures from a single source","11_evt_4625_failed","Event: Logon Activity"
"DGL-164","CRITICAL","SUCCESSFUL logon after failed attempts","T1110","The account may have been compromised following brute force or spraying","11_evt_4624_logon","Event: Logon Activity"
"DGL-165","MEDIUM","Remote server accessed with explicit credentials","T1021","4648 is among the most reliable indicators of lateral movement","11_evt_4648_explicit","Event: Logon Activity"
"DGL-166","MEDIUM","Out-of-hours interactive session (00:00-05:00 UTC)","","Attacker activity is typically seen outside normal working hours","11_evt_4624_logon","Event: Logon Activity"
"DGL-170","(varies)","Account management event","T1136.001","Account creation, deletion and password reset are the most common traces of attacker persistence","11_evt_account_mgmt","Event: Account / Policy Changes"
"DGL-171","(varies)","Member added to a privileged group","T1098","Group membership changes indicate privilege escalation and persistence","11_evt_group_mgmt","Event: Account / Policy Changes"
"DGL-172","(varies)","Audit log tampering","T1070.001","Anti-forensic activity - an indicator that the attack is active","11_evt_antiforensics","Event: Account / Policy Changes"
"DGL-173","HIGH","Service installation record (4697)","T1543.003","Service installation is used for remote execution and persistence","11_evt_4697_service","Event: Account / Policy Changes"
"DGL-174","HIGH","Suspicious command in service installation (4697)","T1543.003","Attacker behaviour pattern matched in the binary path of an installed service","11_evt_4697_service","Event: Account / Policy Changes"
"DGL-175","HIGH","Scheduled task registration/update","T1053.005","Task creation and update records date the persistence setup","11_evt_task_mgmt","Event: Account / Policy Changes"
"DGL-180","(varies)","New service installed (7045)","T1543.003","PsExec, Impacket and the Cobalt Strike SMB beacon install as services","11_evt_7045_newservice","Event: System (7045/7040/104)"
"DGL-181","CRITICAL","Service with a randomised name installed","T1569.002","Random character strings are the typical signature of C2 framework defaults","11_evt_7045_newservice","Event: System (7045/7040/104)"
"DGL-182","HIGH","Suspicious command in new service (7045)","T1543.003","Attacker behaviour pattern matched in the ImagePath of a newly installed service","11_evt_7045_newservice","Event: System (7045/7040/104)"
"DGL-183","CRITICAL","Security service start type changed","T1562.001","A defensive mechanism may have been disabled","11_evt_7040_starttype","Event: System (7045/7040/104)"
"DGL-184","CRITICAL","Security service terminated unexpectedly","T1562.001","A stopped security service is either an attack or telemetry loss; either way coverage narrows","11_evt_system","Event: System (7045/7040/104)"
"DGL-185","CRITICAL","Event log cleared (System 104)","T1070.001","Anti-forensic activity","11_evt_system","Event: System (7045/7040/104)"
"DGL-186","CRITICAL","New service masquerades as a system binary","T1036.005","The service binary name imitates a protected system binary","11_evt_7045_newservice","Event: System (7045/7040/104)"
"DGL-190","HIGH","RDP connection from outside the private network (1149)","T1021.001","Internet-exposed RDP is one of the most common initial access vectors","11_evt_rdp_inbound","Event: RDP / WinRM"
"DGL-191","HIGH","OUTBOUND RDP connection from this host","T1021.001","Outbound RDP indicates this host is a source of lateral movement","11_evt_rdp_outbound","Event: RDP / WinRM"
"DGL-192","MEDIUM","WinRM authentication","T1021.006","Remote management access can be used for lateral movement","11_evt_winrm","Event: RDP / WinRM"
"DGL-200","HIGH","Scheduled task lifecycle event","T1053.005","Task registration and execution events establish the persistence timeline","11_evt_taskscheduler","Event: Persistence and Defense Channels"
"DGL-201","CRITICAL","Persistent WMI event subscription record (5861)","T1546.003","5861 is direct evidence of WMI persistence","11_evt_wmi_activity","Event: Persistence and Defense Channels"
"DGL-202","(varies)","Defender protection state change","T1562.001","Protection components are disabled immediately before payload execution","11_evt_defender","Event: Persistence and Defense Channels"
"DGL-203","MEDIUM","File transfer over BITS","T1197","BITS is a common download channel that evades AV/EDR attention","11_evt_bits","Event: Persistence and Defense Channels"
"DGL-204","HIGH","Code integrity violation (unsigned driver/image)","T1068","May be the trace of a BYOVD attack attempt","11_evt_codeintegrity","Event: Persistence and Defense Channels"
"DGL-205","(varies)","Firewall rule change: <ACTION>","T1562.004","Firewall rule changes open the way for inbound C2 and lateral movement","11_evt_firewall","Event: Persistence and Defense Channels"
"DGL-210","CRITICAL","Access to LSASS memory (credential dump)","T1003.001","This access mask is used to read LSASS memory","11_sysmon_10_lsass","Event: Sysmon"
"DGL-211","HIGH","CreateRemoteThread (process injection)","T1055","Process injection is used for detection evasion and execution inside a legitimate process","11_sysmon_08_injection","Event: Sysmon"
"DGL-212","HIGH","Named pipe created matching a C2 pattern","T1071","Cobalt Strike and similar frameworks communicate over default pipe names","11_sysmon_17_pipes","Event: Sysmon"
"DGL-213","CRITICAL","Process tampering (hollowing/herpaderping)","T1055.012","Hollowing and herpaderping decouple the on-disk file from the in-memory code","11_sysmon_25_tampering","Event: Sysmon"
"DGL-214","CRITICAL","Sysmon WMI event record (persistence)","T1546.003","WMI subscriptions provide persistence without leaving a file on disk","11_sysmon_19_wmi","Event: Sysmon"
"DGL-220","CRITICAL","Possible Kerberoasting (RC4 service ticket volume)","T1558.003","A single account requesting RC4 tickets for many services is the signature of a Kerberoast attack","11_evt_4769_kerberos","Event: Kerberos (DC)"
"DGL-221","HIGH","TGT request without Kerberos pre-authentication (AS-REP roast)","T1558.004","Accounts with pre-auth disabled are exposed to offline password cracking","11_evt_4768_tgt","Event: Kerberos (DC)"
"DGL-222","MEDIUM","TGT with RC4 encryption (encryption downgrade)","T1558","Overpass-the-hash attacks use RC4","11_evt_4768_tgt","Event: Kerberos (DC)"
"DGL-223","HIGH","Kerberos password guessing attack (4771 volume)","T1110.003","High 4771 volume indicates password spraying or brute force","11_evt_4771_preauth","Event: Kerberos (DC)"
"DGL-224","CRITICAL","DCSync attempt (directory replication right used)","T1003.006","A non-DC principal is using replication rights - it can pull every password hash","11_evt_4662_dcsync","Event: Kerberos (DC)"
"DGL-230","HIGH","New executable file in a suspicious directory","T1105","An executable written under Temp/AppData within the analysis window may be a payload","13_recent_files","File System Scan"
"DGL-231","MEDIUM","File downloaded from the internet (MOTW)","T1105","The Zone.Identifier alternate data stream carries the download source","13_recent_files","File System Scan"
"DGL-232","MEDIUM","Possible timestamp manipulation","T1070.006","Creation time is later than the modification time (>5 min) - timestamps may have been backdated","13_recent_files","File System Scan"
"DGL-233","CRITICAL","PE binary hidden behind the wrong extension","T1036.008","A file carrying an MZ header is executable; its extension conceals that","13_recent_files","File System Scan"
"DGL-234","HIGH","File content signature match","T1003","File content matched the signature of a known attack tool or artifact","13_recent_files","File System Scan"
"DGL-235","HIGH","High-entropy file with an innocuous extension in a suspicious directory","T1027","Encrypted or packed content may be hidden behind an innocuous extension","13_recent_files","File System Scan"
"DGL-236","HIGH","Alternate data stream (ADS) detected","T1564.004","Non-default data streams are used to hide code or payloads","13_recent_files","File System Scan"
"DGL-240","(varies)","Possible WEBSHELL: <PATTERN>","T1505.003","Command execution pattern matched in the web root","13_webshell_hits","Webshell Hunt"
"DGL-241","HIGH","New file written to the web root within the analysis window","T1505.003","Web file changes outside deployment may indicate webshell placement","13_web_files","Webshell Hunt"
"DGL-250","(varies)","Archive created within the analysis window","T1560","Attackers archive files during the collection stage","13_archives","Exfiltration Traces"
"DGL-251","CRITICAL","Attack or remote access tool found on disk","T1219","These tools are not legitimately present in user directories","13_attacker_tools","Exfiltration Traces"
"DGL-260","HIGH","Suspicious command in console history","T1059.001","PSReadLine history retains commands that were not cleared; hands-on-keyboard evidence","14_ps_history","User Activity"
"DGL-261","HIGH","Encoded command decoded from console history","T1027","PSReadLine history retains uncleaned commands; encoding is used for obfuscation","14_ps_history","User Activity"
"DGL-262","MEDIUM","RDP connection history from this host","T1021.001","Spread map: which systems were reached from this machine","14_rdp_history","User Activity"
"DGL-263","MEDIUM","No prefetch records","T1070","Prefetch may be disabled - loss of execution evidence","14_prefetch","User Activity"
"DGL-264","HIGH","Suspicious program executed within the analysis window (Prefetch)","T1204","Prefetch preserves execution evidence even after the process exits","14_prefetch","User Activity"
"DGL-265","MEDIUM","Prefetch: program loaded a file from a suspicious directory","T1204","The prefetch loaded-file list reveals the payload actual location on disk","14_prefetch","User Activity"
"DGL-266","INFO","ShimCache unreadable or empty","T1070","ShimCache retains traces of deleted binaries; losing access to it is a visibility gap","15_shimcache","Execution Evidence (ShimCache/Amcache)"
"DGL-267","HIGH","ShimCache: binary record in a suspicious directory","T1070.004","ShimCache keeps the record even after the file is deleted - the strongest evidence of a removed payload","15_shimcache","Execution Evidence (ShimCache/Amcache)"
"DGL-268","CRITICAL","ShimCache: attack tool record","T1588.002","These tools are absent from legitimate workloads; the record survives deletion from disk","15_shimcache","Execution Evidence (ShimCache/Amcache)"
"DGL-269","HIGH","Amcache: program record in a suspicious directory","T1204","Amcache retains the SHA1 hash and first-seen time; traces remain even if Prefetch is cleared","15_amcache","Execution Evidence (ShimCache/Amcache)"
"DGL-270","(varies)","Unrecognised certificate in the trusted root store","T1553.004","A rogue root CA enables TLS interception and code signing forgery","15_certificates","Certificate Store"
"DGL-271","INFO","Amcache unreadable","T1070","Amcache is the secondary source of execution evidence; it can be captured via VSS with -CollectRaw","15_amcache","Execution Evidence (ShimCache/Amcache)"
"DGL-300","HIGH","New object not present in baseline","T1543","This object did not exist in the previous collection; it may have been added outside the analysis window","DELTA","Baseline Comparison"
"DGL-301","MEDIUM","High rarity score","T1543","Unsigned + unknown publisher + unusual location combination; a candidate for individual review","RARITY","Rarity Scoring"
"DGL-400","INFO","Sigma rule matches present (review separately)","","Community Sigma rules vary in quality; excluded from the risk score and reviewed as leads","SIGMA","Sigma Matching"
"DGL-401","INFO","Sigma evaluation did not complete within the time budget","","Use a smaller focused sigma-pack or raise the budget; the coverage gap must be known","SIGMA","Sigma Matching"
"DGL-410","INFO","YARA scan not performed (component missing)","","The YARA engine and rules can be downloaded from Menu > Update Center","16_yara","YARA Scan"
"DGL-411","HIGH","YARA match","T1204","YARA-Forge quality-filtered rule set; matches must be verified (packer rules also match legitimate software)","16_yara","YARA Scan"
"DGL-412","INFO","YARA scan did not complete within the time limit","","The coverage gap must be known","16_yara","YARA Scan"
"DGL-DYNAMIC","(varies)","Suspicious command in event record: <N>","(varies)","Attacker behaviour pattern matched in a historical event record","","Drivers"
"DGL-IOC","CRITICAL","IOC match","T1587","Matched against the supplied IOC list","",""
